method,k,n_subsets,mean_MSE_over_subsets,std_MSE_over_subsets,min_MSE_over_subsets,max_MSE_over_subsets,subset_MSEs,subset_labels
simple_linear,1,4,1.0335708851030945,1.180030461847844,0.137521596183484,3.043872619109923,"[0.7054543980945965, 0.13752159618348408, 3.043872619109923, 0.24743492702437409]","[[""SDY1737""], [""SDY524""], [""SDY569""], [""SDY797""]]"
simple_linear,2,6,0.7801564083419871,0.4804356706935794,0.1989445138863122,1.5615416087660516,"[0.3376236804110232, 1.5615416087660516, 1.2274019918980161, 0.7769290204662489, 0.19894451388631224, 0.5784976346242705]","[[""SDY1737"", ""SDY524""], [""SDY1737"", ""SDY569""], [""SDY1737"", ""SDY797""], [""SDY524"", ""SDY569""], [""SDY524"", ""SDY797""], [""SDY569"", ""SDY797""]]"
simple_linear,3,4,0.3469643719054985,0.093283764607448,0.2496049178692588,0.4857513547155926,"[0.4857513547155926, 0.2752181031736304, 0.3772831118635124, 0.2496049178692588]","[[""SDY1737"", ""SDY524"", ""SDY569""], [""SDY1737"", ""SDY524"", ""SDY797""], [""SDY1737"", ""SDY569"", ""SDY797""], [""SDY524"", ""SDY569"", ""SDY797""]]"
simple_linear,4,1,0.3291587693526479,0.0,0.3291587693526479,0.3291587693526479,[0.32915876935264793],"[[""SDY1737"", ""SDY524"", ""SDY569"", ""SDY797""]]"
lasso,1,4,0.4457206103609279,0.2670986246764371,0.1350077107101095,0.7641434014008404,"[0.6509127887084183, 0.13500771071010953, 0.7641434014008404, 0.23281854062434365]","[[""SDY1737""], [""SDY524""], [""SDY569""], [""SDY797""]]"
lasso,2,6,0.4634445085096154,0.237124756309016,0.1967750601368494,0.8120608456249758,"[0.2905895310283568, 0.8120608456249758, 0.746601037425623, 0.4572835049190668, 0.19677506013684948, 0.2773570719228202]","[[""SDY1737"", ""SDY524""], [""SDY1737"", ""SDY569""], [""SDY1737"", ""SDY797""], [""SDY524"", ""SDY569""], [""SDY524"", ""SDY797""], [""SDY569"", ""SDY797""]]"
lasso,3,4,0.263846912449978,0.0467885963068379,0.2088179718038876,0.3245898852017628,"[0.3245898852017628, 0.2291899526184892, 0.2927898401757726, 0.20881797180388761]","[[""SDY1737"", ""SDY524"", ""SDY569""], [""SDY1737"", ""SDY524"", ""SDY797""], [""SDY1737"", ""SDY569"", ""SDY797""], [""SDY524"", ""SDY569"", ""SDY797""]]"
lasso,4,1,0.2428359307464923,0.0,0.2428359307464923,0.2428359307464923,[0.24283593074649232],"[[""SDY1737"", ""SDY524"", ""SDY569"", ""SDY797""]]"
plain_cnn,1,4,0.3639904425704509,0.1674916677867442,0.1543038215466562,0.6180750804803925,"[0.6180750804803925, 0.15430382154665626, 0.37853895718694264, 0.3050439110678124]","[[""SDY1737""], [""SDY524""], [""SDY569""], [""SDY797""]]"
plain_cnn,2,6,0.3779765853131647,0.092864548775446,0.2890883503259854,0.5697133966528718,"[0.39185202475732284, 0.5697133966528718, 0.33187244230960966, 0.37633503420034103, 0.3089982636328573, 0.28908835032598545]","[[""SDY1737"", ""SDY524""], [""SDY1737"", ""SDY569""], [""SDY1737"", ""SDY797""], [""SDY524"", ""SDY569""], [""SDY524"", ""SDY797""], [""SDY569"", ""SDY797""]]"
plain_cnn,3,4,0.3886805945377529,0.0403088725608105,0.3339195401778441,0.4379925528142109,"[0.4379925528142109, 0.36844940037013874, 0.3339195401778441, 0.4143608847888178]","[[""SDY1737"", ""SDY524"", ""SDY569""], [""SDY1737"", ""SDY524"", ""SDY797""], [""SDY1737"", ""SDY569"", ""SDY797""], [""SDY524"", ""SDY569"", ""SDY797""]]"
plain_cnn,4,1,0.4119224592914644,0.0,0.4119224592914644,0.4119224592914644,[0.4119224592914644],"[[""SDY1737"", ""SDY524"", ""SDY569"", ""SDY797""]]"
autoencoder_cnn,1,4,0.3282413667154235,0.1477664482659794,0.1397688178420157,0.5191600194919017,"[0.5191600194919017, 0.13976881784201578, 0.41466780866885217, 0.23936882085892425]","[[""SDY1737""], [""SDY524""], [""SDY569""], [""SDY797""]]"
autoencoder_cnn,2,6,0.329245269655976,0.0816637941942926,0.2630108327648909,0.5022488723958498,"[0.329660986673889, 0.5022488723958498, 0.26301083276489096, 0.328760252330344, 0.2745231513467611, 0.27726752242412117]","[[""SDY1737"", ""SDY524""], [""SDY1737"", ""SDY569""], [""SDY1737"", ""SDY797""], [""SDY524"", ""SDY569""], [""SDY524"", ""SDY797""], [""SDY569"", ""SDY797""]]"
