R2,Cohen_f2,N,federation_state,power
0.05,0.0526,10,SDY569 alone,
0.05,0.0526,26,+SDY1737,0.0800058443435876
0.05,0.0526,75,+SDY797,0.1981006871549985
0.05,0.0526,150,+SDY524 (full),0.4224656274765225
0.1,0.1111,10,SDY569 alone,
0.1,0.1111,26,+SDY1737,0.11983506856873827
0.1,0.1111,75,+SDY797,0.41769520381680436
0.1,0.1111,150,+SDY524 (full),0.8016952152731475
0.15,0.1765,10,SDY569 alone,
0.15,0.1765,26,+SDY1737,0.17107287511896652
0.15,0.1765,75,+SDY797,0.6466021598653534
0.15,0.1765,150,+SDY524 (full),0.9615345906039449
0.2,0.25,10,SDY569 alone,
0.2,0.25,26,+SDY1737,0.23501581951817463
0.2,0.25,75,+SDY797,0.825908995551982
0.2,0.25,150,+SDY524 (full),0.9958630960497913
0.3,0.4286,10,SDY569 alone,
0.3,0.4286,26,+SDY1737,0.40256749236358325
0.3,0.4286,75,+SDY797,0.9805892854091679
0.3,0.4286,150,+SDY524 (full),0.9999936860159647
