Study,feature,beta,ci_lo,ci_hi
SDY524,MIAA,0.05298005282325322,-0.10312121915877234,0.43182794217596254
SDY524,GAD65,-0.2776462589321708,-0.5238175483305573,0.0
SDY524,IA2IC,-0.10006495540852367,-0.3058500818516207,0.02176540369579679
SDY524,ICA,0.0,0.0,0.0
SDY524,ZNT8,0.13834346332754494,-1.3166814419696654e-05,0.4105903080602776
SDY524,8-12,-0.25728745538719733,-0.3750406061299139,0.0
SDY524,13-17,-0.0,0.0,0.29592630969592165
SDY524,>18,0.03356090311186561,-5.5195971183389625e-05,0.5232820063917014
SDY524,Sex,0.13403931574624847,0.0,0.28929744308856353
SDY569,MIAA,0.0,-0.8741626089400926,0.4130065968079709
SDY569,GAD65,-0.0,-1.3322277270372178,0.5357943275305445
SDY569,IA2IC,0.0,0.0,1.059681066540017
SDY569,ICA,0.0,0.0,0.0
SDY569,ZNT8,0.0,0.0,0.0
SDY569,8-12,-0.6909449385900225,-1.4335417308129936,0.0
SDY569,13-17,0.0,0.0,1.1241485775065614
SDY569,>18,0.0,0.0,5.601337777093479e-15
SDY569,Sex,-0.0,-0.6069458237199344,0.6510090490749467
SDY797,MIAA,0.0,-0.14079532275626164,0.23515437588770938
SDY797,GAD65,0.0,-0.37710116626698403,0.34641711307684936
SDY797,IA2IC,0.17111854350776123,0.0,0.4802082372351389
SDY797,ICA,-0.11476457095634364,-0.40946468925532864,0.0
SDY797,ZNT8,0.0,-0.1184333064332348,0.27371686937349143
SDY797,8-12,0.0,0.0,0.0
SDY797,13-17,0.0,0.0,0.0
SDY797,>18,0.0,0.0,0.0
SDY797,Sex,0.1362414549333414,0.0,0.4517863471318481
SDY1737,MIAA,0.0,-0.6027084912622777,2.6627510148275175
SDY1737,GAD65,0.0,0.0,2.6156857888628067
SDY1737,IA2IC,-0.0,-0.7179139390756076,1.4588789463082437
SDY1737,ICA,0.0,0.0,0.0
SDY1737,ZNT8,0.0,-0.5766132495832014,1.619362302106718
SDY1737,8-12,0.0,-0.12201583283671781,0.7448347693307417
SDY1737,13-17,0.0,-0.31928317123190614,0.514017451091608
SDY1737,>18,-0.0,-1.4397931926283538,0.485222523872671
SDY1737,Sex,0.0,-0.47167855624332095,0.9415726740883248
