feature,beta,ci_lo,ci_hi,Panel
MIAA,0.1359083800694142,-0.026571384878800272,0.2955402590480078,A
GAD65,-0.21911029270124435,-0.43232122353622277,-0.0,A
IA2IC,-0.14616653616531036,-0.3307345874287115,0.05089247060383567,A
ICA,-0.18698832023306908,-0.3153048043918072,0.01419448233096936,A
ZNT8,0.23518281946644132,0.0,0.3887955182359755,A
8-12,-0.2954622773499555,-0.3791665029904861,-0.0,A
13-17,0.0,0.0,0.2340276223385547,A
>18,0.02085885637279949,0.0,0.3099549462956635,A
Sex,0.1796234672525362,0.0,0.2749075742859176,A
Study_SDY524,-0.07882225675930377,-0.3585334296068042,0.02835528770635954,A
Study_SDY569,-0.108509904002452,-0.5980804618127102,0.2523586877147173,A
Study_SDY797,0.2143836434364074,0.0,0.40267733695425506,A
