feature,lasso_beta,elastic_net_beta
Sex,0.08039172193899333,0.10354952885752836
age_years,0.0,0.009235045777018966
disease_duration_years,0.0,0.19067487517989581
bmi,0.0,0.29569860523217817
height_cm,0.0,0.16871438416060028
weight_kg,0.7322796864339511,0.536439832964525
GAD65,-0.0,-0.02819400246592561
IA2IC,-0.0,-0.08839964555294215
MIAA,0.0,0.01576865308903213
ZNT8,0.0,0.11366272885302435
ICA,0.0,0.0
bmi_missing,0.0,0.0
race_Asian,-0.0,-0.023055556412209795
race_Black or African American,-0.0,-0.14945991561501423
race_Other,0.0,0.0
race_White,-0.0,-0.1197394460678783
ethnicity_Not Hispanic or Latino,0.0,0.0418397272869404
ethnicity_Unknown,0.0,0.0
cohort_group_2,0.023011391728531606,0.2362967780518588
cohort_group_Adult,-0.0,-0.0851927735149904
cohort_group_Control,-0.07551904937312195,-0.07544274784984982
cohort_group_Pediatric,0.17479410953205143,0.25467469559461164
cohort_group_hOKT3,0.0,0.03881179716885431
Study_SDY524,-0.0,-0.0
Study_SDY569,0.0,-0.02261800629485753
