Study,Model_Type,Antibody,MSE,MSE_Median_5AB,MSE_IQR_5AB
SDY569,local,GAD65,0.36403298068708945,0.0018918770452159006,0.0006802976509809185
SDY569,local,IA2IC,0.00038580264147808986,0.0018918770452159006,0.0006802976509809185
SDY569,local,MIAA,0.0018042476933980004,0.0018918770452159006,0.0006802976509809185
SDY569,local,ICA,0.002484545344378919,0.0018918770452159006,0.0006802976509809185
SDY569,local,ZNT8,0.0018918770452159006,0.0018918770452159006,0.0006802976509809185
SDY569,federated,GAD65,0.29290210525325705,0.02235761835299721,0.015640422207188674
SDY569,federated,IA2IC,0.014238996846582887,0.02235761835299721,0.015640422207188674
SDY569,federated,MIAA,0.007422478282684487,0.02235761835299721,0.015640422207188674
SDY569,federated,ICA,0.02235761835299721,0.02235761835299721,0.015640422207188674
SDY569,federated,ZNT8,0.02987941905377156,0.02235761835299721,0.015640422207188674
SDY569,retrained,GAD65,0.2842787372776037,0.014097226652879588,0.004358440968813437
SDY569,retrained,IA2IC,0.014097226652879588,0.014097226652879588,0.004358440968813437
SDY569,retrained,MIAA,0.010053461498891953,0.014097226652879588,0.004358440968813437
SDY569,retrained,ICA,0.014925444092581258,0.014097226652879588,0.004358440968813437
SDY569,retrained,ZNT8,0.01056700312376782,0.014097226652879588,0.004358440968813437
SDY1625,local,GAD65,0.010839562942307377,0.026425257019710324,0.045084924602639076
SDY1625,local,IA2IC,0.18593413133402992,0.026425257019710324,0.045084924602639076
SDY1625,local,MIAA,0.026425257019710324,0.026425257019710324,0.045084924602639076
SDY1625,local,ICA,0.0020047292508105128,0.026425257019710324,0.045084924602639076
SDY1625,local,ZNT8,0.05592448754494645,0.026425257019710324,0.045084924602639076
SDY1625,federated,GAD65,0.014244996656334085,0.02133287513616929,0.05019290290679233
SDY1625,federated,IA2IC,0.13994307126776143,0.02133287513616929,0.05019290290679233
SDY1625,federated,MIAA,0.01458862860507068,0.02133287513616929,0.05019290290679233
SDY1625,federated,ICA,0.02133287513616929,0.02133287513616929,0.05019290290679233
SDY1625,federated,ZNT8,0.06478153151186301,0.02133287513616929,0.05019290290679233
SDY1625,retrained,GAD65,0.024627140439937367,0.024627140439937367,0.0428322916598502
SDY1625,retrained,IA2IC,0.11973188451611916,0.024627140439937367,0.0428322916598502
SDY1625,retrained,MIAA,0.003864861736042909,0.024627140439937367,0.0428322916598502
SDY1625,retrained,ICA,0.020444777612556735,0.024627140439937367,0.0428322916598502
SDY1625,retrained,ZNT8,0.06327706927240694,0.024627140439937367,0.0428322916598502
SDY524,local,GAD65,0.08272284115538699,0.03435470922045133,0.004331807164454811
SDY524,local,IA2IC,0.03401814617037666,0.03435470922045133,0.004331807164454811
SDY524,local,MIAA,0.03435470922045133,0.03435470922045133,0.004331807164454811
SDY524,local,ICA,0.006874709214280733,0.03435470922045133,0.004331807164454811
SDY524,local,ZNT8,0.038349953334831474,0.03435470922045133,0.004331807164454811
SDY524,federated,GAD65,0.12033061483222236,0.0853657320647868,0.06380383637570589
SDY524,federated,IA2IC,0.4532868422059729,0.0853657320647868,0.06380383637570589
SDY524,federated,MIAA,0.05652677845651648,0.0853657320647868,0.06380383637570589
SDY524,federated,ICA,0.022510088691778944,0.0853657320647868,0.06380383637570589
SDY524,federated,ZNT8,0.0853657320647868,0.0853657320647868,0.06380383637570589
SDY524,retrained,GAD65,0.11215834502285128,0.09833164427518648,0.06382701391582643
SDY524,retrained,IA2IC,0.044701097772584325,0.09833164427518648,0.06382701391582643
SDY524,retrained,MIAA,0.09833164427518648,0.09833164427518648,0.06382701391582643
SDY524,retrained,ICA,0.004466847008521731,0.09833164427518648,0.06382701391582643
SDY524,retrained,ZNT8,0.10852811168841076,0.09833164427518648,0.06382701391582643
SDY797,local,GAD65,0.4136032659181299,0.17580890575755256,0.028961838511672583
SDY797,local,IA2IC,0.18793494757322077,0.17580890575755256,0.028961838511672583
SDY797,local,MIAA,0.17580890575755256,0.17580890575755256,0.028961838511672583
SDY797,local,ICA,0.15897310906154818,0.17580890575755256,0.028961838511672583
SDY797,local,ZNT8,0.10655778150179167,0.17580890575755256,0.028961838511672583
SDY797,federated,GAD65,0.5759486449045056,0.4359283970832567,0.07933957982160161
SDY797,federated,IA2IC,0.43382596850184,0.4359283970832567,0.07933957982160161
SDY797,federated,MIAA,0.5131655483234416,0.4359283970832567,0.07933957982160161
SDY797,federated,ICA,0.4359283970832567,0.4359283970832567,0.07933957982160161
SDY797,federated,ZNT8,0.2622906518794836,0.4359283970832567,0.07933957982160161
SDY797,retrained,GAD65,0.22935291311433517,0.20434506606044298,0.0592697933851519
SDY797,retrained,IA2IC,0.15050651162025339,0.20434506606044298,0.0592697933851519
SDY797,retrained,MIAA,0.13060332298757976,0.20434506606044298,0.0592697933851519
SDY797,retrained,ICA,0.20434506606044298,0.20434506606044298,0.0592697933851519
SDY797,retrained,ZNT8,0.20977630500540528,0.20434506606044298,0.0592697933851519
SDY1737,local,GAD65,0.018868881393145052,0.04864680101070654,0.038049802374058486
SDY1737,local,IA2IC,0.10558282090020935,0.04864680101070654,0.038049802374058486
SDY1737,local,MIAA,0.04864680101070654,0.04864680101070654,0.038049802374058486
SDY1737,local,ICA,0.0752048629402441,0.04864680101070654,0.038049802374058486
SDY1737,local,ZNT8,0.037155060566185616,0.04864680101070654,0.038049802374058486
SDY1737,federated,GAD65,0.06709807765553284,0.050222002620733106,0.04555577111261165
SDY1737,federated,IA2IC,0.119917234133429,0.050222002620733106,0.04555577111261165
SDY1737,federated,MIAA,0.050222002620733106,0.050222002620733106,0.04555577111261165
SDY1737,federated,ICA,0.020523440442741347,0.050222002620733106,0.04555577111261165
SDY1737,federated,ZNT8,0.021542306542921195,0.050222002620733106,0.04555577111261165
SDY1737,retrained,GAD65,0.05935577896975395,0.05935577896975395,0.014127729274465928
SDY1737,retrained,IA2IC,0.10673986611136188,0.05935577896975395,0.014127729274465928
SDY1737,retrained,MIAA,0.062037662005728064,0.05935577896975395,0.014127729274465928
SDY1737,retrained,ICA,0.003194442918436638,0.05935577896975395,0.014127729274465928
SDY1737,retrained,ZNT8,0.047909932731262136,0.05935577896975395,0.014127729274465928
