Study,Model_Type,N_test,MSE_All,MSE_AB_Median,MSE_AB_IQR,MSE_AgeGroup_Median,MSE_AgeGroup_IQR,MSE_Sex_Median,MSE_Sex_IQR,MSE_GAD65,MSE_IA2IC,MSE_MIAA,MSE_ICA,MSE_ZNT8
SDY569,local,2,,0.0022123880615710356,0.0014576558061314875,0.0783814811623988,0.05510036201062092,0.0783814811623988,0.05510036201062092,0.383785696692155,0.0011260258722488817,0.003120475496075294,0.0022123880615710356,0.0016628196899438064
SDY1625,local,6,,0.0314998535735865,0.05212492612901769,0.09280129405616135,0.0,0.09280129405616136,0.05465054697353379,0.0183117677486937,0.3360396704115467,0.0314998535735865,0.007718484669268472,0.07043669387771138
SDY524,local,15,,0.06160060107899004,0.010820144138615082,0.06042664691512019,0.01367766732777357,0.04932292110423343,0.014162443173777274,0.052278351919217037,0.06160060107899004,0.06309849605783212,0.0009585448204894426,0.09228268360093393
SDY797,local,10,,0.1545595912669848,0.06378644020826271,0.16197221987456736,0.0,0.17130690325415815,0.015557805632651384,0.19911985229681511,0.10594943115433439,0.1353334120885524,0.21489881256615,0.1545595912669848
SDY1737,local,4,,0.08996813882105223,0.02790883694391018,0.08036508051842389,0.001608672343751824,0.07031654964812906,0.020097061740589714,0.09340209777502778,0.11558447608720979,0.0654932608311176,0.03737742907771208,0.08996813882105223
SDY569,federated,2,0.07175825338213568,0.01047236015907696,0.007241026197004062,0.07175825338213569,0.048066543297448736,0.07175825338213569,0.048066543297448736,0.32322567440628536,0.00722383091788026,0.003404544312551542,0.01047236015907696,0.014464857114884322
SDY1625,federated,6,0.04745037361723192,0.009936208503964844,0.05413007898528745,0.04745037361723192,0.0,0.04745037361723192,0.036861585106095385,0.008808852852663442,0.1455152546003228,0.00943073657196053,0.009936208503964844,0.06356081555724798
SDY524,federated,15,0.1553236653460035,0.09122039805518568,0.07300183763145801,0.16002495942326847,0.010074201594139243,0.15823824558774122,0.008743740725213056,0.13147421021812492,0.48430902017519295,0.05847237258666691,0.011142325694847029,0.09122039805518568
SDY797,federated,10,0.5020896999412849,0.4979183572429802,0.09634772885000897,0.5020896999412849,0.0,0.43705604030694,0.10838943272390827,0.6519255376116317,0.4979183572429802,0.5752482840868801,0.47890055523687114,0.30645576552806203
SDY1737,federated,4,0.05355055346573083,0.0518859038874415,0.06296395763886294,0.05355055346573082,0.01792430494510576,0.04077276354109239,0.025555579849276873,0.073832327339633,0.12152334290908179,0.0518859038874415,0.01086836970077007,0.009642823491727771
