Study,Model_Type,Antibody,MSE
SDY569,local,GAD65,0.383785696692155
SDY569,local,IA2IC,0.0011260258722488817
SDY569,local,MIAA,0.003120475496075294
SDY569,local,ICA,0.0022123880615710356
SDY569,local,ZNT8,0.0016628196899438064
SDY1625,local,GAD65,0.0183117677486937
SDY1625,local,IA2IC,0.3360396704115467
SDY1625,local,MIAA,0.0314998535735865
SDY1625,local,ICA,0.007718484669268472
SDY1625,local,ZNT8,0.07043669387771138
SDY524,local,GAD65,0.052278351919217037
SDY524,local,IA2IC,0.06160060107899004
SDY524,local,MIAA,0.06309849605783212
SDY524,local,ICA,0.0009585448204894426
SDY524,local,ZNT8,0.09228268360093393
SDY797,local,GAD65,0.19911985229681511
SDY797,local,IA2IC,0.10594943115433439
SDY797,local,MIAA,0.1353334120885524
SDY797,local,ICA,0.21489881256615
SDY797,local,ZNT8,0.1545595912669848
SDY1737,local,GAD65,0.09340209777502778
SDY1737,local,IA2IC,0.11558447608720979
SDY1737,local,MIAA,0.0654932608311176
SDY1737,local,ICA,0.03737742907771208
SDY1737,local,ZNT8,0.08996813882105223
SDY569,federated,GAD65,0.21579248174542887
SDY569,federated,IA2IC,0.0825026519459422
SDY569,federated,MIAA,0.16403372400635238
SDY569,federated,ICA,0.012339651079410818
SDY569,federated,ZNT8,0.018614041617105236
SDY1625,federated,GAD65,0.034785768290698495
SDY1625,federated,IA2IC,0.06304354475101813
SDY1625,federated,MIAA,0.009008958024467504
SDY1625,federated,ICA,0.010393219973523993
SDY1625,federated,ZNT8,0.025730572769628222
SDY524,federated,GAD65,0.14028277948783813
SDY524,federated,IA2IC,0.3650802028693559
SDY524,federated,MIAA,0.033992681802663585
SDY524,federated,ICA,0.012438224530889816
SDY524,federated,ZNT8,0.052628672125218455
SDY797,federated,GAD65,0.599170673319074
SDY797,federated,IA2IC,0.5063058429504685
SDY797,federated,MIAA,0.5146996387451483
SDY797,federated,ICA,0.41693617830697655
SDY797,federated,ZNT8,0.4174212038712831
SDY1737,federated,GAD65,0.10747950888716185
SDY1737,federated,IA2IC,0.2002222511201346
SDY1737,federated,MIAA,0.03240810738391352
SDY1737,federated,ICA,0.011699019826209425
SDY1737,federated,ZNT8,0.018681482394742016
SDY569,retrained,GAD65,0.17663274705410004
SDY569,retrained,IA2IC,0.0657239556312561
SDY569,retrained,MIAA,0.15365979075431824
SDY569,retrained,ICA,0.0356149822473526
SDY569,retrained,ZNT8,0.008472038432955742
SDY1625,retrained,GAD65,0.038589589297771454
SDY1625,retrained,IA2IC,0.06464223563671112
SDY1625,retrained,MIAA,0.00290666869841516
SDY1625,retrained,ICA,0.017413293942809105
SDY1625,retrained,ZNT8,0.0670100599527359
SDY524,retrained,GAD65,0.09735243767499924
SDY524,retrained,IA2IC,0.07090595364570618
SDY524,retrained,MIAA,0.035745855420827866
SDY524,retrained,ICA,0.013340945355594158
SDY524,retrained,ZNT8,0.027304375544190407
SDY797,retrained,GAD65,0.14614337682724
SDY797,retrained,IA2IC,0.13518662750720978
SDY797,retrained,MIAA,0.19402672350406647
SDY797,retrained,ICA,0.24924109876155853
SDY797,retrained,ZNT8,0.1536926031112671
SDY1737,retrained,GAD65,0.09455916285514832
SDY1737,retrained,IA2IC,0.14829686284065247
SDY1737,retrained,MIAA,0.04766305536031723
SDY1737,retrained,ICA,0.033016979694366455
SDY1737,retrained,ZNT8,0.07191571593284607
