feature,partial_eta2,ci_lo,ci_hi,Panel
MIAA,0.006251350136565653,3.589395305034258e-05,0.0359302482508578,A
GAD65,0.01830784899198937,0.0001170421492782594,0.09468447970084067,A
IA2IC,0.03778462793144753,0.001873498779280932,0.13809002562069903,A
ICA,0.0013602246675972663,2.1713472591433797e-06,0.03365599267232857,A
ZNT8,0.04523048478967236,0.003324419598614578,0.1199236595445608,A
8-12,0.0,0.0,4.0122278227605144e-16,A
13-17,0.0,0.0,3.490110041928421e-16,A
>18,0.0,0.0,3.9938915392442057e-16,A
Sex,0.0463713973658222,0.004675079506009473,0.1412103779288391,A
Sex,0.018835504639620488,2.7393772013404664e-05,0.1208931832968201,B
age_years,0.00465722644207177,2.495462702638437e-06,0.09150993747879937,B
disease_duration_years,0.024513230020746873,7.676945261860134e-05,0.19001178644029929,B
bmi,0.0005098033592384512,6.12817343644317e-05,0.0874775056355312,B
height_cm,0.002903910798417953,1.8261135929779317e-05,0.1036165407533255,B
weight_kg,0.039470954029696005,0.0003609448201363608,0.13679493597302356,B
GAD65,0.0004888539572027593,4.428915710599546e-05,0.09157575132416257,B
IA2IC,0.008200089388751622,1.203739487968478e-05,0.13407503688962336,B
MIAA,0.0015010472361046054,2.8747133540075324e-06,0.09252283468386703,B
ZNT8,0.004568778288126918,5.75195991925112e-05,0.09574911283191134,B
ICA,0.0,0.0,3.6990435161331187e-16,B
bmi_missing,0.0,0.0,6.841715309773631e-16,B
race_Asian,0.01377595076224859,0.0,0.07841324560891999,B
race_Black or African American,0.046925523254319375,0.0,0.2001422964916763,B
race_Other,0.0007892634962966399,0.0,0.03472422240848357,B
race_White,0.02957871446100039,0.0,0.1937645181549316,B
ethnicity_Not Hispanic or Latino,0.006514195845064201,1.2709760804159785e-16,0.07813937143206957,B
ethnicity_Unknown,0.005531728262581112,0.0,0.05746863542823862,B
cohort_group_2,0.028646570098116258,3.6205237549376426e-05,0.18068055585329496,B
cohort_group_Adult,0.004056380578542636,5.313060866848218e-06,0.17146084400757788,B
cohort_group_Control,0.00020422159112851377,1.0159381924795631e-05,0.09022707489367916,B
cohort_group_Pediatric,0.010255948263628648,1.7146628865866694e-05,0.18503863986092306,B
cohort_group_hOKT3,0.0008088784259758196,1.4607179650938102e-05,0.1326826327501833,B
