Panel,Model,N,k,MSE_mean,MSE_sd,R2,Cohen_f2,achieved_power,N_required_80pct
A,OLS,150,9,0.22393625272489323,0.05600987247209393,-0.026068254536354196,0.0,0.050004264688391364,
A,Ridge,150,9,0.22393220246526413,0.056008734047059326,-0.026049696385195276,0.0,0.050004264688391364,
A,LASSO,150,7,0.23191848244539556,0.07366300649702551,-0.06264255823646003,0.0,0.050004998811349566,
A,ElasticNet,150,7,0.23151013232038423,0.07375975852235059,-0.06077151192345087,0.0,0.050004998811349566,
A,RandomForest,150,9,0.24450417443838818,0.058569896405844764,-0.12030976869588872,0.0,0.050004264688391364,
B,OLS,98,23,0.21647775306020334,0.08538106749945297,-0.019091527405050046,0.0,0.0500013998572294,
B,Ridge,98,21,0.21635393371904219,0.08540316025735792,-0.018495256809266225,0.0,0.05000149906662832,
B,LASSO,98,6,0.19397489707685592,0.08461473121228379,0.08802802882396721,0.09652492796511139,0.5801364433554504,148.0
B,ElasticNet,98,6,0.19758865141728027,0.08789721028055536,0.07033188630109688,0.07565268213972075,0.46340619213453493,187.0
B,RandomForest,98,23,0.202592654492336,0.0590210388404533,0.0446926168292322,0.0467834935818172,0.13989068170126395,491.0
