feature,coefficient,n_subjects,study,panel,alpha
__intercept__,-0.44602989399405407,16,SDY1737,B,1.0
Sex,0.13760046102780676,16,SDY1737,B,1.0
age_years,-0.30981948655200925,16,SDY1737,B,1.0
disease_duration_years,0.12500990685689253,16,SDY1737,B,1.0
bmi,0.035669606047259154,16,SDY1737,B,1.0
height_cm,-0.1600131884818544,16,SDY1737,B,1.0
weight_kg,-0.03942182746738646,16,SDY1737,B,1.0
GAD65,0.5271467317576997,16,SDY1737,B,1.0
IA2IC,0.0884309536835668,16,SDY1737,B,1.0
MIAA,-0.18432605789207604,16,SDY1737,B,1.0
ZNT8,-0.15562128177092202,16,SDY1737,B,1.0
ICA,0.0,16,SDY1737,B,1.0
received_active_treatment,0.0,16,SDY1737,B,1.0
