feature,coefficient,selected,n_subjects,study,panel,alpha
__intercept__,-0.4303082391705083,0,75,SDY524,A,0.0034828595289189755
MIAA,0.04921553353390351,1,75,SDY524,A,0.0034828595289189755
GAD65,-0.27588526959850035,1,75,SDY524,A,0.0034828595289189755
IA2IC,-0.09909324636018395,1,75,SDY524,A,0.0034828595289189755
ICA,0.0,0,75,SDY524,A,0.0034828595289189755
ZNT8,0.13550420117214546,1,75,SDY524,A,0.0034828595289189755
8-12,-0.2572284195844475,1,75,SDY524,A,0.0034828595289189755
13-17,-0.0,0,75,SDY524,A,0.0034828595289189755
>18,0.031191234180071404,1,75,SDY524,A,0.0034828595289189755
Sex,0.133319349078939,1,75,SDY524,A,0.0034828595289189755
