feature,importance,n_subjects,study,panel
Sex,0.009034405525176408,72,SDY524,B
age_years,0.06896915617992479,72,SDY524,B
disease_duration_years,0.044669466170889106,72,SDY524,B
bmi,0.21893057133900393,72,SDY524,B
height_cm,0.07739598995971265,72,SDY524,B
weight_kg,0.3464879901665316,72,SDY524,B
GAD65,0.05815838776398596,72,SDY524,B
IA2IC,0.08729347571724967,72,SDY524,B
MIAA,0.0376708729314504,72,SDY524,B
ZNT8,0.043105497843397275,72,SDY524,B
ICA,0.0,72,SDY524,B
received_active_treatment,0.008284186402678377,72,SDY524,B
