feature,coefficient,selected,n_subjects,study,panel,alpha
__intercept__,-1.010972552236209,0,10,SDY569,B,0.06405645499537735
Sex,-0.0,0,10,SDY569,B,0.06405645499537735
age_years,0.0,0,10,SDY569,B,0.06405645499537735
disease_duration_years,0.0,0,10,SDY569,B,0.06405645499537735
bmi,0.2560522762309049,1,10,SDY569,B,0.06405645499537735
height_cm,0.0,0,10,SDY569,B,0.06405645499537735
weight_kg,0.5654130511633695,1,10,SDY569,B,0.06405645499537735
GAD65,0.0,0,10,SDY569,B,0.06405645499537735
IA2IC,0.0,0,10,SDY569,B,0.06405645499537735
MIAA,0.0,0,10,SDY569,B,0.06405645499537735
ZNT8,0.0,0,10,SDY569,B,0.06405645499537735
ICA,0.0,0,10,SDY569,B,0.06405645499537735
received_active_treatment,0.20692274367619798,1,10,SDY569,B,0.06405645499537735
