feature,SDY524,SDY569,SDY1737,median
weight_kg,0.3466232715370996,0.3122518637226558,0.1403754903796454,0.3122518637226558
bmi,0.2189305713390039,0.1599895774813616,0.1348404634769436,0.1599895774813616
GAD65,0.0581462849347619,0.1014775929156636,0.2180416919141968,0.1014775929156636
age_years,0.0689919187733484,0.0898074008020426,0.096512923314125,0.0898074008020426
height_cm,0.0775261176407108,0.2699087845010882,0.0384826816969289,0.0775261176407108
IA2IC,0.0873115475139154,0.0201223064450789,0.064534925799614,0.064534925799614
MIAA,0.0376899711666829,0.0464424741321093,0.0976888754848946,0.0464424741321093
disease_duration_years,0.0446286317807995,0.0,0.0927410101463171,0.0446286317807995
ZNT8,0.0430985024373886,0.0,0.1118236202214908,0.0430985024373886
Sex,0.0087264286562384,0.0,0.0049583175658433,0.0049583175658433
ICA,0.0,0.0,0.0,0.0
received_active_treatment,0.0083267542200499,0.0,0.0,0.0
