,SDY524,SDY569,SDY1737,FedAvg_by_N,Simple_mean,Median,IQR
Sex,0.0954951001351251,-0.0052382191252621,0.210284066401775,0.10395724572351822,0.10018031580387933,0.0954951001351251,0.10776114276351853
age_years,0.055583170267659,0.2301226950434306,-0.2382855823259864,0.02541475400499971,0.0158067609950344,0.055583170267659,0.23420413868470852
disease_duration_years,0.2164684927387596,0.0,-0.2144684787789547,0.1240228144564022,0.0006666713199349658,0.0,0.21546848575885713
bmi,0.3268004643142816,0.4330429107926321,-0.0115254331918178,0.2824046490559746,0.24943931397169863,0.3268004643142816,0.22228417199222494
height_cm,0.2974264719359624,0.3594076311311874,-0.1252319236715529,0.23474562767302368,0.177200726465199,0.2974264719359624,0.24231977740137017
weight_kg,0.3885189733889472,0.3830156149350963,-0.1158373585310266,0.3056135152740687,0.21856574326433895,0.3830156149350963,0.2521781659599869
GAD65,-0.2028759308173355,0.0365439845476283,0.5669066440814808,-0.05276653947008346,0.13352489927059122,0.0365439845476283,0.38489128744940815
IA2IC,-0.0488210169964732,0.1784452502335949,0.061687153410117,-0.007588431294369889,0.06377046221574623,0.061687153410117,0.11363313361503405
MIAA,0.059776668266107,0.0559163620810764,0.3270733103280743,0.10302302756346589,0.1475887802250859,0.059776668266107,0.13557847412349894
ZNT8,0.0425212152055626,0.0,0.415686055453927,0.0991071875720749,0.15273575688649654,0.0425212152055626,0.2078430277269635
ICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
received_active_treatment,0.111972805063929,0.0,0.0,0.08226573433268253,0.037324268354642996,0.0,0.0559864025319645
