Study,Layer,Param,Index,Value
SDY524,layer_0,weight,"(0, 0, 0, 0)",0.03884601
SDY524,layer_0,weight,"(0, 0, 0, 1)",0.25334483
SDY524,layer_0,weight,"(0, 0, 0, 2)",-0.15186355
SDY524,layer_0,weight,"(0, 0, 0, 3)",-0.26028743
SDY524,layer_0,weight,"(1, 0, 0, 0)",-0.20198905
SDY524,layer_0,weight,"(1, 0, 0, 1)",0.34721702
SDY524,layer_0,weight,"(1, 0, 0, 2)",0.4761116
SDY524,layer_0,weight,"(1, 0, 0, 3)",0.62168723
SDY524,layer_0,weight,"(2, 0, 0, 0)",-0.36409318
SDY524,layer_0,weight,"(2, 0, 0, 1)",0.35112068
SDY524,layer_0,weight,"(2, 0, 0, 2)",-0.6274496
SDY524,layer_0,weight,"(2, 0, 0, 3)",0.16088495
SDY524,layer_0,bias,"(0,)",-0.04109976
SDY524,layer_0,bias,"(1,)",0.05362555
SDY524,layer_0,bias,"(2,)",0.14869176
SDY524,layer_0,bias,"(3,)",0.054006632
SDY524,layer_1,weight,"(0, 0)",-0.22904398
SDY524,layer_1,weight,"(0, 1)",0.0013510287
SDY524,layer_1,weight,"(1, 0)",-0.16091509
SDY524,layer_1,weight,"(1, 1)",0.40090865
SDY524,layer_1,weight,"(2, 0)",0.29997718
SDY524,layer_1,weight,"(2, 1)",-0.42188126
SDY524,layer_1,weight,"(3, 0)",-0.13537765
SDY524,layer_1,weight,"(3, 1)",0.18149309
SDY524,layer_1,weight,"(4, 0)",-0.25017825
SDY524,layer_1,weight,"(4, 1)",-0.069817916
SDY524,layer_1,weight,"(5, 0)",-0.31308755
SDY524,layer_1,weight,"(5, 1)",0.39507213
SDY524,layer_1,weight,"(6, 0)",-0.021310939
SDY524,layer_1,weight,"(6, 1)",0.49751663
SDY524,layer_1,weight,"(7, 0)",-0.08016849
SDY524,layer_1,weight,"(7, 1)",0.120251775
SDY524,layer_1,weight,"(8, 0)",-0.34118164
SDY524,layer_1,weight,"(8, 1)",-0.098669216
SDY524,layer_1,weight,"(9, 0)",-0.32841134
SDY524,layer_1,weight,"(9, 1)",0.39699942
SDY524,layer_1,weight,"(10, 0)",0.28336015
SDY524,layer_1,weight,"(10, 1)",-0.18923046
SDY524,layer_1,weight,"(11, 0)",0.020765718
SDY524,layer_1,weight,"(11, 1)",-0.47471562
SDY524,layer_1,weight,"(12, 0)",0.20315629
SDY524,layer_1,weight,"(12, 1)",-0.35575217
SDY524,layer_1,weight,"(13, 0)",0.13501675
SDY524,layer_1,weight,"(13, 1)",-0.10185079
SDY524,layer_1,weight,"(14, 0)",0.4137581
SDY524,layer_1,weight,"(14, 1)",-0.13026574
SDY524,layer_1,weight,"(15, 0)",-0.10580412
SDY524,layer_1,weight,"(15, 1)",-0.21657312
SDY524,layer_1,weight,"(16, 0)",0.44239217
SDY524,layer_1,weight,"(16, 1)",-0.19452393
SDY524,layer_1,weight,"(17, 0)",0.3702241
SDY524,layer_1,weight,"(17, 1)",-0.08483258
SDY524,layer_1,weight,"(18, 0)",0.22791828
SDY524,layer_1,weight,"(18, 1)",0.22025335
SDY524,layer_1,weight,"(19, 0)",0.048781086
SDY524,layer_1,weight,"(19, 1)",0.29560313
SDY524,layer_1,weight,"(20, 0)",-0.0028206408
SDY524,layer_1,weight,"(20, 1)",-0.1651415
SDY524,layer_1,weight,"(21, 0)",0.21096636
SDY524,layer_1,weight,"(21, 1)",0.34128273
SDY524,layer_1,weight,"(22, 0)",0.50916684
SDY524,layer_1,weight,"(22, 1)",-0.54677695
SDY524,layer_1,weight,"(23, 0)",-0.29992065
SDY524,layer_1,weight,"(23, 1)",0.23862208
SDY524,layer_1,weight,"(24, 0)",-0.19939962
SDY524,layer_1,weight,"(24, 1)",0.17449898
SDY524,layer_1,weight,"(25, 0)",0.3917532
SDY524,layer_1,weight,"(25, 1)",0.10153438
SDY524,layer_1,weight,"(26, 0)",0.44264722
SDY524,layer_1,weight,"(26, 1)",0.07785861
SDY524,layer_1,weight,"(27, 0)",0.59040856
